court,surface,round_imp,best_of,player0,player1,player0_rank,player1_rank,winner
Outdoor,Hard,7,3,Dosedel S.,Ljubicic I.,63,77,player0
Outdoor,Hard,7,3,Enqvist T.,Clement A.,5,56,player0
Outdoor,Hard,7,3,Escude N.,Baccanello P.,40,655,player0
Outdoor,Hard,7,3,Federer R.,Knippschild J.,65,87,player0
Outdoor,Hard,7,3,Fromberg R.,Woodbridge T.,81,198,player0
Outdoor,Hard,7,3,Gambill J.M.,Arthurs W.,58,105,player0
Outdoor,Hard,7,3,Grosjean S.,Ilie A.,26,51,player0
Outdoor,Hard,7,3,Henman T.,Balcells J.,11,218,player0
Outdoor,Hard,7,3,Hewitt L.,Woodforde M.,24,129,player0
Outdoor,Hard,7,3,Lisnard J.,Tebbutt M.,134,351,player0
Outdoor,Hard,7,3,Martin A.,Spadea V.,55,21,player0
Outdoor,Hard,7,3,Norman M.,Draper S.,15,155,player0
Outdoor,Hard,7,3,Petrovic D.,Huet S.,208,122,player0
Outdoor,Hard,7,3,Sekulov J.,Pozzi G.,142,79,player0
Outdoor,Hard,7,3,Stoltenberg J.,Hrbaty D.,84,20,player0
Outdoor,Hard,7,3,Vinck C.,Goldstein P.,227,88,player0
Outdoor,Hard,6,3,Enqvist T.,Federer R.,5,65,player0
Outdoor,Hard,6,3,Escude N.,Dosedel S.,40,63,player0
Outdoor,Hard,6,3,Grosjean S.,Gambill J.M.,26,58,player0
Outdoor,Hard,6,3,Henman T.,Lisnard J.,11,134,player0
Outdoor,Hard,6,3,Hewitt L.,Petrovic D.,24,208,player0
Outdoor,Hard,6,3,Martin A.,Sekulov J.,55,142,player0
Outdoor,Hard,6,3,Norman M.,Fromberg R.,15,81,player0
Outdoor,Hard,6,3,Stoltenberg J.,Vinck C.,84,227,player0
Outdoor,Hard,3,3,Enqvist T.,Grosjean S.,5,26,player0
Outdoor,Hard,3,3,Escude N.,Henman T.,40,11,player0
Outdoor,Hard,3,3,Hewitt L.,Stoltenberg J.,24,84,player0
Outdoor,Hard,3,3,Norman M.,Martin A.,15,55,player0
Outdoor,Hard,2,3,Enqvist T.,Norman M.,5,15,player0
Outdoor,Hard,2,3,Hewitt L.,Escude N.,24,40,player0
Outdoor,Hard,1,3,Hewitt L.,Enqvist T.,24,5,player0
Outdoor,Hard,7,3,Agenor R.,Kumar S.,94,1198,player0
Outdoor,Hard,7,3,Behrend T.,Popp A.,116,124,player0
Outdoor,Hard,7,3,Damm M.,Rochus C.,104,120,player0
Outdoor,Hard,7,3,Delgado J.,Black B.,162,67,player0
Outdoor,Hard,7,3,Golmard J.,Spottl M.,38,200,player0
Outdoor,Hard,7,3,Hantschk M.,Tieleman L.,128,89,player0
Outdoor,Hard,7,3,Jonsson F.,Kroslak J.,127,103,player0
Outdoor,Hard,7,3,Ketola T.,Ogorodov O.,163,135,player0
Outdoor,Hard,7,3,Manta L.,Zib T.,117,115,player0
Outdoor,Hard,7,3,Paes L.,Boutter J.,145,137,player0
Outdoor,Hard,7,3,Pioline C.,Ram A.,14,414,player0
Outdoor,Hard,7,3,Sanguinetti D.,Voinea A.,121,100,player0
Outdoor,Hard,7,3,Stanoytchev O.,Kilderry P.,111,342,player0
Outdoor,Hard,7,3,Tabara M.,Kafelnikov Y.,125,2,player0
Outdoor,Hard,7,3,Vanek J.,Ishii Y.,160,238,player0
Outdoor,Hard,7,3,Vinciguerra A.,Lopez-Moron A.,99,113,player0
Outdoor,Hard,6,3,Damm M.,Agenor R.,104,94,player0
Outdoor,Hard,6,3,Delgado J.,Stanoytchev O.,162,111,player0
Outdoor,Hard,6,3,Golmard J.,Jonsson F.,38,127,player0
Outdoor,Hard,6,3,Hantschk M.,Behrend T.,128,116,player0
Outdoor,Hard,6,3,Ketola T.,Vanek J.,163,160,player0
Outdoor,Hard,6,3,Manta L.,Tabara M.,117,125,player0
Outdoor,Hard,6,3,Pioline C.,Paes L.,14,145,player0
Outdoor,Hard,6,3,Sanguinetti D.,Vinciguerra A.,121,99,player0
Outdoor,Hard,3,3,Damm M.,Manta L.,104,117,player0
Outdoor,Hard,3,3,Golmard J.,Delgado J.,38,162,player0
Outdoor,Hard,3,3,Hantschk M.,Ketola T.,128,163,player0
Outdoor,Hard,3,3,Pioline C.,Sanguinetti D.,14,121,player0
Outdoor,Hard,2,3,Golmard J.,Damm M.,38,104,player0
Outdoor,Hard,2,3,Hantschk M.,Pioline C.,128,14,player0
Outdoor,Hard,1,3,Golmard J.,Hantschk M.,38,128,player0
Outdoor,Hard,7,3,Bastl G.,Novak J.,85,36,player0
Outdoor,Hard,7,3,Berasategui A.,Al-Alawi S.K.,60,NR,player0
Outdoor,Hard,7,3,Caratti C.,Heuberger I.,211,219,player0
Outdoor,Hard,7,3,Cherkasov A.,Arazi H.,206,35,player0
Outdoor,Hard,7,3,El Aynaoui Y.,Dupuis A.,33,78,player0
Outdoor,Hard,7,3,Gaudio G.,Luxa P.,73,174,player0
Outdoor,Hard,7,3,Kiefer N.,Tarango J.,6,59,player0
Outdoor,Hard,7,3,Marin J.A.,Mantilla F.,71,25,player0
Outdoor,Hard,7,3,Mirnyi M.,Puerta M.,74,101,player0
Outdoor,Hard,7,3,Santoro F.,Burgsmuller L.,32,138,player0
Outdoor,Hard,7,3,Schalken S.,Diaz J.,44,86,player0
Outdoor,Hard,7,3,Schuettler R.,Sanchez J.,47,285,player0
Outdoor,Hard,7,3,Squillari F.,Siemerink J.,49,93,player0
Outdoor,Hard,7,3,Tillstrom M.,Ivanisevic G.,83,62,player0
Outdoor,Hard,7,3,Vacek D.,Vicente F.,39,50,player0
Outdoor,Hard,7,3,van Lottum J.,Blanco G.,69,76,player0
Outdoor,Hard,6,3,Bastl G.,Berasategui A.,85,60,player0
Outdoor,Hard,6,3,El Aynaoui Y.,Gaudio G.,33,73,player0
Outdoor,Hard,6,3,Kiefer N.,Caratti C.,6,211,player0
Outdoor,Hard,6,3,Mirnyi M.,Marin J.A.,74,71,player0
Outdoor,Hard,6,3,Santoro F.,van Lottum J.,32,69,player0
Outdoor,Hard,6,3,Schalken S.,Squillari F.,44,49,player0
Outdoor,Hard,6,3,Schuettler R.,Vacek D.,47,39,player0
Outdoor,Hard,6,3,Tillstrom M.,Cherkasov A.,83,206,player0
Outdoor,Hard,3,3,El Aynaoui Y.,Tillstrom M.,33,83,player0
Outdoor,Hard,3,3,Kiefer N.,Schalken S.,6,44,player0
Outdoor,Hard,3,3,Santoro F.,Bastl G.,32,85,player0
Outdoor,Hard,3,3,Schuettler R.,Mirnyi M.,47,74,player0
Outdoor,Hard,2,3,Santoro F.,Kiefer N.,32,6,player0
Outdoor,Hard,2,3,Schuettler R.,El Aynaoui Y.,47,33,player0
Outdoor,Hard,1,3,Santoro F.,Schuettler R.,32,47,player0
Outdoor,Hard,7,3,Balcells J.,Squillari F.,211,49,player0
Outdoor,Hard,7,3,Behrend T.,Hantschk M.,115,95,player0
Outdoor,Hard,7,3,Chang M.,Black B.,50,70,player0
Outdoor,Hard,7,3,Ferrero J.C.,Federer R.,45,61,player0
Outdoor,Hard,7,3,Gambill J.M.,Fromberg R.,57,80,player0
Outdoor,Hard,7,3,Gaudio G.,Sargsian S.,72,52,player0
Outdoor,Hard,7,3,Gustafsson M.,Nielsen M.,60,246,player0
Outdoor,Hard,7,3,Haas T.,Tarango J.,11,63,player0
Outdoor,Hard,7,3,Johansson T.,Weiner G.,43,334,player0
Outdoor,Hard,7,3,Martin A.,Berasategui A.,48,59,player0
Outdoor,Hard,7,3,Norman M.,Costa F.,14,149,player0
Outdoor,Hard,7,3,Novak J.,Bjorkman J.,38,76,player0
Outdoor,Hard,7,3,Rosset M.,Vicente F.,46,53,player0
Outdoor,Hard,7,3,Schalken S.,Ivanisevic G.,37,68,player0
Outdoor,Hard,7,3,Sell M.,Escude N.,167,34,player0
Outdoor,Hard,7,3,van Lottum J.,Woodruff C.,66,56,player0
Outdoor,Hard,6,3,Balcells J.,Haas T.,211,11,player0
Outdoor,Hard,6,3,Chang M.,Sell M.,50,167,player0
Outdoor,Hard,6,3,Ferrero J.C.,Martin A.,45,48,player0
Outdoor,Hard,6,3,Gaudio G.,Novak J.,72,38,player0
Outdoor,Hard,6,3,Gustafsson M.,Johansson T.,60,43,player0
Outdoor,Hard,6,3,Norman M.,Gambill J.M.,14,57,player0
Outdoor,Hard,6,3,Rosset M.,van Lottum J.,46,66,player0
Outdoor,Hard,6,3,Schalken S.,Behrend T.,37,115,player0
Outdoor,Hard,3,3,Balcells J.,Ferrero J.C.,211,45,player0
Outdoor,Hard,3,3,Chang M.,Gustafsson M.,50,60,player0
Outdoor,Hard,3,3,Gaudio G.,Schalken S.,72,37,player0
Outdoor,Hard,3,3,Norman M.,Rosset M.,14,46,player0
Outdoor,Hard,2,3,Chang M.,Balcells J.,50,211,player0
Outdoor,Hard,2,3,Norman M.,Gaudio G.,14,72,player0
Outdoor,Hard,1,3,Norman M.,Chang M.,14,50,player0
Outdoor,Hard,7,3,Arazi H.,Mantilla F.,42,25,player0
Outdoor,Hard,7,3,Clavet F.,Kuerten G.,39,5,player0
Outdoor,Hard,7,3,Clement A.,Zabaleta M.,55,32,player0
Outdoor,Hard,7,3,Corretja A.,Pioline C.,28,15,player0
Outdoor,Hard,7,3,Dosedel S.,Woodforde M.,69,128,player0
Outdoor,Hard,7,3,Hewitt L.,Grosjean S.,21,27,player0
Outdoor,Hard,7,3,Hrbaty D.,Ullyett K.,23,193,player0
Outdoor,Hard,7,3,Ilie A.,Costa A.,47,18,player0
Outdoor,Hard,7,3,Koubek S.,Meligeni F.,40,29,player0
Outdoor,Hard,7,3,Kucera K.,Damm M.,17,88,player0
Outdoor,Hard,7,3,Lapentti N.,El Aynaoui Y.,7,31,player0
Outdoor,Hard,7,3,Ljubicic I.,Safin M.,79,24,player0
Outdoor,Hard,7,3,Martin T.,Medvedev A.,8,33,player0
Outdoor,Hard,7,3,Stoltenberg J.,Diaz J.,94,84,player0
Outdoor,Hard,7,3,Vacek D.,Lisnard J.,41,127,player0
Outdoor,Hard,7,3,Voinea A.,Spadea V.,102,20,player0
Outdoor,Hard,6,3,Corretja A.,Arazi H.,28,42,player0
Outdoor,Hard,6,3,Dosedel S.,Ilie A.,69,47,player0
Outdoor,Hard,6,3,Hewitt L.,Clavet F.,21,39,player0
Outdoor,Hard,6,3,Kucera K.,Clement A.,17,55,player0
Outdoor,Hard,6,3,Lapentti N.,Koubek S.,7,40,player0
Outdoor,Hard,6,3,Ljubicic I.,Martin T.,79,8,player0
Outdoor,Hard,6,3,Stoltenberg J.,Hrbaty D.,94,23,player0
Outdoor,Hard,6,3,Voinea A.,Vacek D.,102,41,player0
Outdoor,Hard,3,3,Corretja A.,Dosedel S.,28,69,player0
Outdoor,Hard,3,3,Hewitt L.,Voinea A.,21,102,player0
Outdoor,Hard,3,3,Ljubicic I.,Kucera K.,79,17,player0
