court,surface,round_imp,best_of,player0,player1,player0_rank,player1_rank,winner
Outdoor,Hard,7,5,Corretja A.,Sargsian S.,54.0,92.0,player1
Outdoor,Hard,7,5,Monaco J.,Gaudio G.,10.0,82.0,player1
Outdoor,Hard,7,5,Labadze I.,Golmard J.,339.0,46.0,player1
Outdoor,Hard,7,5,Martin T.,Santoro F.,34.0,96.0,player1
Outdoor,Hard,7,5,Ginepri R.,Agassi A.,7.0,47.0,player1
Outdoor,Hard,7,5,Karlovic I.,Henman T.,6.0,52.0,player1
Outdoor,Hard,7,5,Hanescu V.,Srichaphan P.,15.0,86.0,player1
Outdoor,Hard,7,5,Ljubicic I.,Lee H.T.,74.0,25.0,player1
Outdoor,Hard,7,5,Dupuis A.,Martin A.,58.0,85.0,player1
Outdoor,Hard,7,5,Suzuki T.,Goldstein P.,157.0,201.0,player1
Outdoor,Hard,7,5,Acasuso J.,Massu N.,11.0,79.0,player1
Outdoor,Hard,7,5,Zabaleta M.,Tursunov D.,63.0,53.0,player1
Outdoor,Hard,7,5,Hernandez O.,Hrbaty D.,23.0,87.0,player1
Outdoor,Hard,7,5,Safin M.,Enqvist T.,59.0,14.0,player1
Outdoor,Hard,7,5,Reynolds B.,Peya A.,130.0,320.0,player1
Outdoor,Hard,7,5,Udomchoke D.,Robredo T.,19.0,182.0,player1
Outdoor,Hard,7,5,Elseneer G.,Llodra M.,56.0,108.0,player1
Outdoor,Hard,7,5,Bogomolov A.,Koubek S.,97.0,109.0,player1
Outdoor,Hard,7,5,Schuettler R.,Seppi A.,171.0,12.0,player1
Outdoor,Hard,7,5,Saretta F.,Mayer F.,37.0,104.0,player1
Outdoor,Hard,7,5,Zib T.,Ferrero J.C.,8.0,141.0,player1
Outdoor,Hard,7,5,Ram R.,Gambill J.M.,77.0,307.0,player1
Outdoor,Hard,7,5,Arthurs W.,Clement A.,66.0,84.0,player1
Outdoor,Hard,7,5,Hippensteel K.,Volandri F.,60.0,207.0,player1
Outdoor,Hard,7,5,Heuberger I.,Nadal R.,49.0,139.0,player1
Outdoor,Hard,7,5,Vliegen K.,Canas G.,31.0,103.0,player1
Outdoor,Hard,7,5,Lu Y.H.,Johansson J.,30.0,95.0,player1
Outdoor,Hard,7,5,Jenkins S.,Roddick A.,2.0,1441.0,player1
Outdoor,Hard,7,5,Philippoussis M.,Davydenko N.,51.0,57.0,player1
Outdoor,Hard,7,5,Horna L.,Spadea V.,24.0,33.0,player1
Outdoor,Hard,7,5,Bjorkman J.,Berdych T.,68.0,35.0,player1
Outdoor,Hard,7,5,Patience O.,Grosjean S.,13.0,111.0,player1
Outdoor,Hard,7,5,Carraz G.,Melzer J.,40.0,70.0,player1
Outdoor,Hard,7,5,Ferreira W.,Hewitt L.,5.0,107.0,player1
Outdoor,Hard,7,5,Gonzalez F.,Soderling R.,39.0,16.0,player1
Outdoor,Hard,7,5,Morrison J.,Ketola T.,277.0,101.0,player1
Outdoor,Hard,7,5,Ascione T.,Beck K.,72.0,112.0,player1
Outdoor,Hard,7,5,Montanes A.,Youzhny M.,38.0,83.0,player1
Outdoor,Hard,7,5,Carlsen K.,Arazi H.,41.0,98.0,player1
Outdoor,Hard,7,5,Kuerten G.,Pless K.,353.0,21.0,player1
Outdoor,Hard,7,5,Benneteau A.,Kohlschreiber P.,99.0,75.0,player1
Outdoor,Hard,7,5,Chela J.I.,Mello R.,113.0,17.0,player1
Outdoor,Hard,7,5,van Scheppingen D.,Nalbandian D.,9.0,73.0,player1
Outdoor,Hard,7,5,di Pasquale A.,Lopez F.,32.0,252.0,player1
Outdoor,Hard,7,5,Odesnik W.,Sanchez D.,64.0,480.0,player1
Outdoor,Hard,7,5,Sanguinetti D.,Haas T.,45.0,102.0,player1
Outdoor,Hard,6,5,Baghdatis M.,Federer R.,1.0,240.0,player1
Outdoor,Hard,6,5,Gaudio G.,Johansson T.,61.0,10.0,player1
Outdoor,Hard,6,5,Goldstein P.,Srichaphan P.,15.0,157.0,player1
Outdoor,Hard,6,5,Verdasco F.,Pavel A.,18.0,36.0,player1
Outdoor,Hard,6,5,Tursunov D.,Santoro F.,34.0,63.0,player1
Outdoor,Hard,6,5,Martin A.,Lee H.T.,74.0,58.0,player1
Outdoor,Hard,6,5,Saulnier C.,Kiefer N.,20.0,62.0,player1
Outdoor,Hard,6,5,Kucera K.,Hrbaty D.,23.0,118.0,player1
Outdoor,Hard,6,5,Starace P.,Rochus O.,100.0,93.0,player1
Outdoor,Hard,6,5,Mayer F.,Agassi A.,7.0,37.0,player1
Outdoor,Hard,6,5,Golmard J.,Henman T.,6.0,339.0,player1
Outdoor,Hard,6,5,Fish M.,Tabara M.,149.0,28.0,player1
Outdoor,Hard,6,5,Massu N.,Sargsian S.,54.0,11.0,player1
Outdoor,Hard,6,5,Calatrava A.,Novak J.,26.0,106.0,player1
Outdoor,Hard,6,5,Dent T.,Mathieu P.H.,88.0,22.0,player1
Outdoor,Hard,6,5,Delic A.,Moya C.,4.0,245.0,player1
Outdoor,Hard,6,5,Grosjean S.,Haas T.,45.0,13.0,player1
Outdoor,Hard,6,5,Clement A.,Robredo T.,19.0,66.0,player1
Outdoor,Hard,6,5,Ferrero J.C.,Koubek S.,97.0,8.0,player1
Outdoor,Hard,6,5,Arazi H.,Hewitt L.,5.0,41.0,player1
Outdoor,Hard,6,5,Sanchez D.,Mello R.,113.0,64.0,player1
Outdoor,Hard,6,5,Pless K.,Beck K.,72.0,353.0,player1
Outdoor,Hard,6,5,Ketola T.,Berdych T.,68.0,277.0,player1
Outdoor,Hard,6,5,Kohlschreiber P.,Lopez F.,32.0,99.0,player1
Outdoor,Hard,6,5,Enqvist T.,Peya A.,130.0,59.0,player1
Outdoor,Hard,6,5,Soderling R.,Davydenko N.,51.0,39.0,player1
Outdoor,Hard,6,5,Spadea V.,Melzer J.,40.0,24.0,player1
Outdoor,Hard,6,5,Gambill J.M.,Johansson J.,30.0,77.0,player1
Outdoor,Hard,6,5,Seppi A.,Llodra M.,56.0,171.0,player1
Outdoor,Hard,6,5,Nalbandian D.,Youzhny M.,38.0,9.0,player1
Outdoor,Hard,6,5,Volandri F.,Canas G.,31.0,60.0,player1
Outdoor,Hard,6,5,Nadal R.,Roddick A.,2.0,49.0,player1
Outdoor,Hard,5,5,Santoro F.,Federer R.,1.0,34.0,player1
Outdoor,Hard,5,5,Moya C.,Rochus O.,100.0,4.0,player1
Outdoor,Hard,5,5,Srichaphan P.,Hrbaty D.,23.0,15.0,player1
Outdoor,Hard,5,5,Lee H.T.,Pavel A.,18.0,74.0,player1
Outdoor,Hard,5,5,Johansson T.,Kiefer N.,20.0,61.0,player1
Outdoor,Hard,5,5,Novak J.,Agassi A.,7.0,26.0,player1
Outdoor,Hard,5,5,Mathieu P.H.,Sargsian S.,54.0,88.0,player1
Outdoor,Hard,5,5,Tabara M.,Henman T.,6.0,149.0,player1
Outdoor,Hard,5,5,Mello R.,Haas T.,45.0,113.0,player1
Outdoor,Hard,5,5,Koubek S.,Johansson J.,30.0,97.0,player1
Outdoor,Hard,5,5,Peya A.,Robredo T.,19.0,130.0,player1
Outdoor,Hard,5,5,Youzhny M.,Berdych T.,68.0,38.0,player1
Outdoor,Hard,5,5,Melzer J.,Llodra M.,56.0,40.0,player1
Outdoor,Hard,5,5,Canas G.,Roddick A.,2.0,31.0,player1
Outdoor,Hard,5,5,Davydenko N.,Beck K.,72.0,51.0,player1
Outdoor,Hard,5,5,Lopez F.,Hewitt L.,5.0,32.0,player1
Outdoor,Hard,4,5,Kiefer N.,Henman T.,6.0,20.0,player1
Outdoor,Hard,4,5,Rochus O.,Hrbaty D.,23.0,100.0,player1
Outdoor,Hard,4,5,Sargsian S.,Agassi A.,7.0,54.0,player1
Outdoor,Hard,4,5,Pavel A.,Federer R.,1.0,18.0,player1
Outdoor,Hard,4,5,Beck K.,Hewitt L.,5.0,72.0,player1
Outdoor,Hard,4,5,Berdych T.,Haas T.,45.0,68.0,player1
Outdoor,Hard,4,5,Llodra M.,Johansson J.,30.0,56.0,player1
Outdoor,Hard,4,5,Robredo T.,Roddick A.,2.0,19.0,player1
Outdoor,Hard,3,5,Agassi A.,Federer R.,1.0,7.0,player1
Outdoor,Hard,3,5,Hrbaty D.,Henman T.,6.0,23.0,player1
Outdoor,Hard,3,5,Haas T.,Hewitt L.,5.0,45.0,player1
Outdoor,Hard,3,5,Roddick A.,Johansson J.,30.0,2.0,player1
Outdoor,Hard,2,5,Johansson J.,Hewitt L.,5.0,30.0,player1
Outdoor,Hard,2,5,Henman T.,Federer R.,1.0,6.0,player1
Outdoor,Hard,1,5,Hewitt L.,Federer R.,1.0,5.0,player1
Outdoor,Hard,7,3,Garcia-Lopez G.,Nieminen J.,71.0,120.0,player1
Outdoor,Hard,7,3,Baccanello P.,Schuettler R.,12.0,365.0,player1
Outdoor,Hard,7,3,Zhu B.Q.,Lu Y.H.,94.0,641.0,player1
Outdoor,Hard,7,3,Luczak P.,Dent T.,28.0,139.0,player1
Outdoor,Hard,7,3,Parmar A.,Okun N.,144.0,185.0,player1
Outdoor,Hard,7,3,Burgsmuller L.,Kim K.,143.0,136.0,player1
Outdoor,Hard,7,3,Gimelstob J.,Ferrero J.C.,11.0,256.0,player1
Outdoor,Hard,7,3,Heuberger I.,Youzhny M.,35.0,129.0,player1
Outdoor,Hard,7,3,Healey N.,Sanguinetti D.,105.0,356.0,player1
Outdoor,Hard,7,3,Wang Y.,Hrbaty D.,18.0,180.0,player1
Outdoor,Hard,7,3,Lisnard J.R.,Srichaphan P.,20.0,125.0,player1
Outdoor,Hard,7,3,Weiner G.,Lee H.T.,65.0,124.0,player1
Outdoor,Hard,7,3,Moya C.,Tsonga J.W.,209.0,6.0,player1
Outdoor,Hard,7,3,Bogomolov A.,Safin M.,13.0,106.0,player1
Outdoor,Hard,7,3,Amritraj P.,Lu H.,1095.0,308.0,player1
Outdoor,Hard,7,3,Pless K.,Nalbandian D.,14.0,280.0,player1
Outdoor,Hard,6,3,Schuettler R.,Youzhny M.,35.0,12.0,player1
Outdoor,Hard,6,3,Ferrero J.C.,Kim K.,143.0,11.0,player1
Outdoor,Hard,6,3,Sanguinetti D.,Hrbaty D.,18.0,105.0,player1
Outdoor,Hard,6,3,Dent T.,Nieminen J.,71.0,28.0,player1
Outdoor,Hard,6,3,Tsonga J.W.,Lee H.T.,65.0,209.0,player1
Outdoor,Hard,6,3,Okun N.,Srichaphan P.,20.0,144.0,player1
Outdoor,Hard,6,3,Lu H.,Safin M.,13.0,1095.0,player1
Outdoor,Hard,6,3,Lu Y.H.,Nalbandian D.,14.0,94.0,player1
Outdoor,Hard,3,3,Hrbaty D.,Youzhny M.,35.0,18.0,player1
Outdoor,Hard,3,3,Lee H.T.,Srichaphan P.,20.0,65.0,player1
Outdoor,Hard,3,3,Nalbandian D.,Nieminen J.,71.0,14.0,player1
Outdoor,Hard,3,3,Kim K.,Safin M.,13.0,143.0,player1
Outdoor,Hard,2,3,Srichaphan P.,Youzhny M.,35.0,20.0,player1
Outdoor,Hard,2,3,Nieminen J.,Safin M.,13.0,71.0,player1
Outdoor,Hard,1,3,Youzhny M.,Safin M.,13.0,35.0,player1
Outdoor,Clay,7,3,Davydenko N.,Mantilla F.,87.0,44.0,player1
Outdoor,Clay,7,3,Costa A.,Mathieu P.H.,79.0,45.0,player1
Outdoor,Clay,7,3,Vliegen K.,Andreev I.,49.0,99.0,player1
Outdoor,Clay,7,3,Hernandez O.,Corretja A.,91.0,102.0,player1
Outdoor,Clay,7,3,Elsner D.,di Pasquale A.,244.0,146.0,player1
Outdoor,Clay,7,3,Sluiter R.,Sanchez D.,77.0,93.0,player1
Outdoor,Clay,7,3,Clement A.,Djokovic N.,272.0,67.0,player1
Outdoor,Clay,7,3,van Scheppingen D.,Mayer F.,36.0,72.0,player1
Outdoor,Clay,7,3,Starace P.,Gasquet R.,119.0,80.0,player1
Outdoor,Clay,7,3,Squillari F.,Acasuso J.,95.0,135.0,player1
Outdoor,Clay,7,3,Verdasco F.,Hanescu V.,96.0,39.0,player1
Outdoor,Clay,7,3,Wawrinka S.,Ferrer D.,54.0,167.0,player1
Outdoor,Clay,7,3,Sabau R.,Kohlschreiber P.,85.0,296.0,player1
Outdoor,Clay,7,3,Montanes A.,Volandri F.,53.0,83.0,player1
Outdoor,Clay,7,3,Ionita V.,Koubek S.,82.0,221.0,player1
Outdoor,Clay,7,3,Monaco J.,Calatrava A.,101.0,86.0,player1
Outdoor,Clay,6,3,Kohlschreiber P.,Andreev I.,49.0,85.0,player1
Outdoor,Clay,6,3,Sanchez D.,Acasuso J.,95.0,77.0,player1
Outdoor,Clay,6,3,Corretja A.,Mathieu P.H.,79.0,91.0,player1
Outdoor,Clay,6,3,Calatrava A.,Mantilla F.,87.0,101.0,player1
Outdoor,Clay,6,3,Gasquet R.,Volandri F.,53.0,119.0,player1
